itr.,error,수정전Date&Time,년,월,일,시각,시간,Date&Time,수위(m),유량(㎥/sec),해발표고,경주ASOS,토함산AWS,Unnamed: 14,시작,45852.375,끝,45994.958333333336,Unnamed: 19,142.58333333333576,28.516666666667152
0,09:00:00,2025-07-14,2025,7,14,9,2025-07-14 09,2025-07-14 09:00:00,3.26,12.202,8.0,,0.0,,,,,,,,
1,10:00:00,2025-07-14,2025,7,14,10,2025-07-14 10,2025-07-14 10:00:00,3.24,11.35,7.98,,0.0,,,,,,,,
2,11:00:00,2025-07-14,2025,7,14,11,2025-07-14 11,2025-07-14 11:00:00,3.23,10.929,7.97,,0.0,,,,,,,,
3,12:00:00,2025-07-14,2025,7,14,12,2025-07-14 12,2025-07-14 12:00:00,3.21,10.096,7.95,,0.0,,,,,,,,
4,13:00:00,2025-07-14,2025,7,14,13,2025-07-14 13,2025-07-14 13:00:00,3.2,9.685,7.94,,0.5,,,,,,,,
5,14:00:00,2025-07-14,2025,7,14,14,2025-07-14 14,2025-07-14 14:00:00,3.18,8.875,7.92,,0.0,,,,,,,,
6,15:00:00,2025-07-14,2025,7,14,15,2025-07-14 15,2025-07-14 15:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
7,16:00:00,2025-07-14,2025,7,14,16,2025-07-14 16,2025-07-14 16:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
8,17:00:00,2025-07-14,2025,7,14,17,2025-07-14 17,2025-07-14 17:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
9,18:00:00,2025-07-14,2025,7,14,18,2025-07-14 18,2025-07-14 18:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
10,19:00:00,2025-07-14,2025,7,14,19,2025-07-14 19,2025-07-14 19:00:00,3.12,6.538,7.86,0.0,0.0,,,,,,,,
11,20:00:00,2025-07-14,2025,7,14,20,2025-07-14 20,2025-07-14 20:00:00,3.11,6.164,7.85,2.9,0.0,,,,,,,,
12,21:00:00,2025-07-14,2025,7,14,21,2025-07-14 21,2025-07-14 21:00:00,3.11,6.164,7.85,5.2,22.0,,,,,,,,
13,22:00:00,2025-07-14,2025,7,14,22,2025-07-14 22,2025-07-14 22:00:00,3.11,6.164,7.85,0.0,0.0,,,,,,,,
14,23:00:00,2025-07-14,2025,7,14,23,2025-07-14 23,2025-07-14 23:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
15,00:00:00,2025-07-15,2025,7,15,0,2025-07-15 00,2025-07-15 00:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
16,01:00:00,2025-07-15,2025,7,15,1,2025-07-15 01,2025-07-15 01:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
17,02:00:00,2025-07-15,2025,7,15,2,2025-07-15 02,2025-07-15 02:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
18,03:00:00,2025-07-15,2025,7,15,3,2025-07-15 03,2025-07-15 03:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
19,04:00:00,2025-07-15,2025,7,15,4,2025-07-15 04,2025-07-15 04:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
20,05:00:00,2025-07-15,2025,7,15,5,2025-07-15 05,2025-07-15 05:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
21,06:00:00,2025-07-15,2025,7,15,6,2025-07-15 06,2025-07-15 06:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
22,07:00:00,2025-07-15,2025,7,15,7,2025-07-15 07,2025-07-15 07:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
23,08:00:00,2025-07-15,2025,7,15,8,2025-07-15 08,2025-07-15 08:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
24,09:00:00,2025-07-15,2025,7,15,9,2025-07-15 09,2025-07-15 09:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
25,10:00:00,2025-07-15,2025,7,15,10,2025-07-15 10,2025-07-15 10:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
26,11:00:00,2025-07-15,2025,7,15,11,2025-07-15 11,2025-07-15 11:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
27,12:00:00,2025-07-15,2025,7,15,12,2025-07-15 12,2025-07-15 12:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
28,13:00:00,2025-07-15,2025,7,15,13,2025-07-15 13,2025-07-15 13:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
29,14:00:00,2025-07-15,2025,7,15,14,2025-07-15 14,2025-07-15 14:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
30,15:00:00,2025-07-15,2025,7,15,15,2025-07-15 15,2025-07-15 15:00:00,3.11,6.164,7.85,3.7,0.0,,,,,,,,
