수위관측소 코드,수위관측소 명,수계,경도,위도,관측개시일
3001620,장수군(연화교),금강,127.52722222,35.78583333,1999
3002630,진안군(신용담교),금강,127.52777778,35.95138889,2001
3004620,금산군(적벽교),금강,127.59333333,36.04888889,1992
3004650,영동군(호탄리),금강,127.65222222,36.12888889,1987
3006680,옥천군(이원대교),금강,127.67138889,36.23750000,1979
3007670,옥천군(산계리),금강,127.73722222,36.31083333,1979
1001683,영월군(삼옥교),한강,128.51027778,37.20722222,2008
1002655,영월군(판운교),한강,128.34388889,37.29666667,1992
1003630,단양군(오사리),한강,128.51083333,37.09861111,1985
1004690,충주시(향산리),한강,127.92444444,36.92500000,1985
1006610,횡성군(율동리),한강,128.10694444,37.55777778,1999
1009650,화천군(평화의댐),한강,127.84500000,38.21111111,1998
1010670,화천군(오작교),한강,127.81166667,38.28500000,2002
1010680,화천군(화천대교),한강,127.70833333,38.10055556,2002
1011650,인제군(어두원교),한강,128.39333333,38.23166667,2000
1011690,인제군(월학리),한강,128.32333333,38.21611111,1972
1012650,인제군(원대교),한강,128.40194444,38.02250000,2002
1012670,인제군(양구대교),한강,128.10111111,38.65666667,1992
1021660,연천군(군남댐),한강,127.01583333,38.10500000,2010
1022665,연천군(궁신교),한강,127.10583333,38.03750000,2004
2001630,봉화군(임기리),낙동강,129.00111111,36.86666667,1978
2001658,봉화군(양삼교),낙동강,128.88555556,36.76750000,2009
2001685,안동시(안동댐),낙동강,128.77500000,36.56888889,1978
2002620,영양군(양평교),낙동강,129.10805556,36.65027778,1987
2002630,청송군(송강2교),낙동강,129.02611111,36.64638889,2004
2002633,영양군(임천교),낙동강,129.06722222,36.61472222,2010
2002635,영양군(흥구리),낙동강,129.06527778,36.54805556,2004
2002655,청송군(덕천교),낙동강,129.04388889,36.42833333,1987
2002686,안동시(신덕교),낙동강,128.83777778,36.51944444,2011
2002692,안동시(포진교),낙동강,128.79583333,36.53666667,1987
2003610,안동시(안동대교),낙동강,128.69972222,36.55027778,1995
2003650,안동시(검암교),낙동강,128.65666667,36.54083333,2004
2005670,상주시(상우교),낙동강,128.06472222,36.46722222,2005
2008605,군위군(동곡교),낙동강,128.82305556,36.16138889,2010
2012605,포항시(논골교),낙동강,129.08000000,36.13361111,2010
2002613,포항시(상사4교),낙동강,129.08861111,36.25083333,2005
2018680,산청군(창촌리),낙동강,127.89277778,35.26722222,1976
2018608,함양군(금천리),낙동강,127.81555556,35.61666667,1994
3012630,공주시(평소리),금강,126.98666667,36.50222222,1996
3203640,보령시(보령댐),금강서해,126.64861111,36.23583333,1996
3203645,보령시(보령댐방수로),금강서해,126.64555556,36.23555556,1998
3302617,정읍시(종산리),만경 · 동진,127.09527778,35.59222222,1994
4001620,임실군(호암교),섬진강,127.24277778,35.66805556,2004
4001660,순창군(운암교),섬진강,127.01388889,35.50388889,2009
4002605,임실군(섬진강댐),섬진강,127.11361111,35.53944444,1990
4007625,보성군(보성강댐),섬진강,127.14500000,34.80527778,1991
4007630,보성군(가장교),섬진강,127.14972222,34.82805556,1991
4007660,화순군(동복댐),섬진강,127.10250000,35.08250000,1991
4007670,화순군(용리교),섬진강,127.11555556,35.02388889,1996
4104603,순천시(송전교),섬진강남해,127.38361111,35.00166667,2005
4104610,순천시(노동교),섬진강남해,127.38083333,34.95083333,2008
4104620,순천시(주암조절지댐),섬진강남해,127.47500000,34.94416667,1991
4105660,광양시(수어댐),섬진강남해,127.71666667,35.03250000,1978
4105665,광양시(지원교),섬진강남해,127.72555556,35.01250000,2008
4105670,광양시(수어천교),섬진강남해,127.71666667,34.98527778,2008
5001618,담양군(장천교),영산강,126.98972222,35.34777778,2012
5003604,화순군(세청교),영산강,126.98638889,34.89027778,2012
5101620,장흥군(동산교),탐진강,126.89222222,34.81333333,2000
5101680,강진군(풍동리),탐진강,126.87000000,34.64916667,2000
2015620,거창군(의동교),낙동강,127.92527778,35.70083333,1987
2015635,거창군(거열교),낙동강,127.89777778,35.66916667,1987
2015680,합천군(합천댐),낙동강,128.04305556,35.56722222,1987
2016650,합천군(남정교),낙동강,128.16138889,35.55194444,1987
2018620,함양군(용평리),낙동강,127.73138889,35.50250000,1994
2018630,함양군(의탄리),낙동강,127.68277778,35.40194444,1987
2018635,함양군(화촌리),낙동강,127.79111111,35.45055556,1994
2018645,산청군(경호교),낙동강,127.87444444,35.41805556,1976
2018650,산청군(수산교),낙동강,127.94000000,35.33750000,2013
2018655,합천군(소오리),낙동강,128.11750000,35.40000000,1987
2018665,산청군(하정리),낙동강,127.99583333,35.31722222,1994
2018685,하동군(대곡리),낙동강,127.92027778,35.16750000,1994
2018692,사천시(검정리),낙동강남해,128.03277778,35.06916667,1997
2018695,진주시(판문동),낙동강,128.03027778,35.16888889,1994
2021650,양산시(대리),낙동강,128.98305556,35.47666667,2000
2022696,낙동강하굿둑증설갑문(상),,128.95055556,35.48138889,1988
2022696,부산시(낙동강하구언(내)),낙동강,128.95055556,35.10805556,1988
2201625,울산시(사연댐),태화강,129.19472222,35.58000000,1965
2302695,부산시(신평동),회야 · 수영,128.95388889,35.09111111,1988
2401620,울진군(구산리),낙동강동해,129.37361111,36.95194444,1996
2402620,영덕군(대지리),낙동강동해,129.30750000,36.39333333,1996
2503625,거제시(죽전교),낙동강남해,128.65500000,34.65222222,2008
2015655,거창군(지산교),낙동강,128.01444444,35.65222222,1992
2005650,문경시(불정동),낙동강,128.14888889,36.63388889,1996
2008621,군위군(화수교),낙동강,128.75416667,36.12638889,2010
2002645,청송군(광덕교),낙동강,129.04444444,36.53166667,2004
2503650,거제시(구천교),낙동강남해,128.63416667,34.80805556,2008
2018690,진주시(내평리),낙동강,128.02138889,35.15083333,1994
2019615,진주시(장대동),낙동강,128.08666667,35.19055556,1987
2022697,부산시(낙동강하구언(외)),낙동강,128.95055556,35.10722222,1988
1012680,춘천시(소양강댐),한강,128.36444444,38.59305556,1972
2201613,울산시(대암교),태화강,129.18333333,35.54972222,2008
3001640,진안군(성산리),금강,127.54416667,35.81916667,1999
4002610,임실군(회문리),섬진강,127.13972222,35.51833333,1990
4008650,순천시(광천교),섬진강,127.40638889,35.13305556,1991
1002695,영월군(북쌍리),한강,128.40916667,37.19416667,1985
1003655,제천시(물태리),한강,128.18000000,37.00250000,1992
1009652,화천군(평화나래교),한강,127.85138889,38.20777778,2010
1010640,양구군(각시교),한강,128.55000000,38.31888889,1998
3008690,청주시(대청댐),금강,127.48388889,36.47583333,1979
3005680,영동군(율리),금강,127.80722222,36.22694444,1992
4008655,곡성군(목사동2교),섬진강,127.25888889,35.12666667,2008
