Desktop_Software_Build_Version,1.7
Site_Name,,CHCW
Site_Number,,2
Local_Start_Time,,2025-11-25 12:50:58
Local_End_Time,,2025-11-25 13:21:07
Local_Time_UTC_Offset_Hours,Hours,0.0000
Operator,,
Handheld_Serial_Number,,FT2H2408015
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2408008
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,14
Discharge_Equation,,MidSection
Rated_Discharge,m ³/s,NaN
Rated_Height,m ³/s,NaN
Minimum_Boundary_Status,,Fair
Total_Width,m,6.5
Total_Area,m ²,2.335
Total_Discharge,m ³/s,0.09156
Mean_Depth,m,0.359
Mean_Velocity_Vx,m/s,0.039
Mean_Velocity_Vy,m/s,0
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,28.505
Mean_VxErr,m/s,0.003
Mean_VyErr,m/s,0.002
Mean_VzErr,m/s,0
Mean_Temp,° C,10.741

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,6.864
Accuracy,%,1
Depth,%,0.339
Velocity,%,2.926
Width,%,0.331
Method,%,4.941
#_Stations,%,3.593

Discharge_Uncertainty_IVE
Overall,%,34.234
Accuracy,%,1
Depth,%,3.61
Velocity,%,34.027
Width,%,0.331

Supplemental_Data,#,0
Record_Number,Date_And_Time,Gauge_Height (m),Rated_Discharge (m ³/s),Temperature (° C),Salinity (PSS),Comments

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2025-11-25 12:52:20,Pass,Pass,Pass,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(° C),(deg),(),(m/s),(m ²),(m ³/s),(%)
000,12:52:40,36.729,127.801,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,-0.039,0,0,0
001,12:55:45,36.72857N,127.80076E,0.5,NaN,0.19,NaN,NaN,NaN,0.6,0.114,80,2,-0.039,-0.011,NaN,-163.898,0.003,0.001,0,33.79,26.226,NaN,Best,10.712,0.911,1.00,-0.039,0.095,-0.00373,-4.079
002,12:58:08,36.72855N,127.80080E,1,NaN,0.28,NaN,NaN,NaN,0.6,0.168,80,7,-0.022,-0.032,NaN,-124.236,0.004,0.003,0,27.429,27.186,NaN,Best,10.743,1.178,1.00,-0.022,0.14,-0.0031,-3.381
003,12:59:38,36.72854N,127.80075E,1.5,NaN,0.35,NaN,NaN,NaN,0.6,0.21,80,0,0.188,-0.019,NaN,-5.721,0.009,0.003,0,29.052,28.748,NaN,Fair,10.743,1.21,1.00,0.188,0.175,0.03292,35.951
004,13:01:17,36.72853N,127.80080E,2,NaN,0.45,NaN,NaN,NaN,0.6,0.27,80,0,0.143,-0.023,NaN,-9.261,0.008,0.004,0,29.207,28.331,NaN,Best,10.743,1.254,1.00,0.143,0.225,0.03219,35.157
005,13:03:01,36.72851N,127.80080E,2.5,NaN,0.48,NaN,NaN,NaN,0.6,0.288,80,2,0.126,0.058,NaN,24.929,0.004,0.002,0,28.331,27.626,NaN,Best,10.743,1.292,1.00,0.126,0.24,0.03019,32.974
006,13:04:38,36.72852N,127.80082E,3,NaN,0.46,NaN,NaN,NaN,0.6,0.276,80,0,0.09,-0.002,NaN,-1.02,0.002,0.003,0,25.199,25.385,NaN,Best,10.743,1.475,1.00,0.09,0.23,0.02067,22.58
007,13:09:59,36.72852N,127.80080E,3.5,NaN,0.5,NaN,NaN,NaN,0.2,0.1,80,0,0.022,-0.005,NaN,-13.039,0.001,0.001,0,30.868,29.967,NaN,Best,10.743,1.075,1.00,0.019,0.25,0.00481,5.253
007,13:08:52,36.72852N,127.80080E,3.5,NaN,0.5,NaN,NaN,NaN,0.8,0.4,80,0,0.017,-0.01,NaN,-31.674,0.001,0.001,0,28.864,28.3,NaN,Best,10.743,1.386,1.00,NaN,NaN,NaN,NaN
008,13:11:29,36.72854N,127.80081E,4,NaN,0.52,NaN,NaN,NaN,0.2,0.104,80,0,-0.019,0.004,NaN,167.856,0.001,0.001,0,23.506,22.987,NaN,Best,10.744,0.951,1.00,-0.016,0.26,-0.00415,-4.536
008,13:12:30,36.72854N,127.80081E,4,NaN,0.52,NaN,NaN,NaN,0.8,0.416,80,1,-0.012,-0.003,NaN,-167.777,0.001,0.001,0,28.645,28.238,NaN,Best,10.757,1.554,1.00,NaN,NaN,NaN,NaN
009,13:14:02,36.72852N,127.80082E,4.5,NaN,0.44,NaN,NaN,NaN,0.6,0.264,80,0,-0.038,-0.002,NaN,-177.44,0,0,0,20.369,19.943,NaN,Best,10.752,1.469,1.00,-0.038,0.22,-0.00836,-9.127
010,13:15:16,36.72852N,127.80078E,5,NaN,0.4,NaN,NaN,NaN,0.6,0.24,80,0,-0.043,-0.002,NaN,-177.638,0,0,0,19.956,19.817,NaN,Best,10.743,1.376,1.00,-0.043,0.2,-0.00864,-9.432
011,13:16:50,36.72854N,127.80079E,5.5,NaN,0.32,NaN,NaN,NaN,0.6,0.192,80,0,-0.01,0.01,NaN,134.807,0.001,0.001,0,41.756,41.317,NaN,Best,10.743,1.384,1.00,-0.01,0.16,-0.00164,-1.797
