Desktop_Software_Build_Version,1.7
Site_Name,,
Site_Number,,NBSW-1
Local_Start_Time,,2025-09-15 15:38:46
Local_End_Time,,2025-09-15 16:05:03
Local_Time_UTC_Offset_Hours,Hours,0.0000
Operator,,
Handheld_Serial_Number,,FT2H2408015
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2408008
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,17
Discharge_Equation,,MidSection
Rated_Discharge,m ³/s,NaN
Rated_Height,m ³/s,NaN
Minimum_Boundary_Status,,Poor
Total_Width,m,16
Total_Area,m ²,5.15
Total_Discharge,m ³/s,0.31639
Mean_Depth,m,0.322
Mean_Velocity_Vx,m/s,0.061
Mean_Velocity_Vy,m/s,-0.005
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,15.273
Mean_VxErr,m/s,0.002
Mean_VyErr,m/s,0.001
Mean_VzErr,m/s,0
Mean_Temp,° C,22.695

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,4.861
Accuracy,%,1
Depth,%,0.35
Velocity,%,1.522
Width,%,0.234
Method,%,3.515
#_Stations,%,2.789

Discharge_Uncertainty_IVE
Overall,%,26.437
Accuracy,%,1
Depth,%,6.38
Velocity,%,25.635
Width,%,0.234

Supplemental_Data,#,0
Record_Number,Date_And_Time,Gauge_Height (m),Rated_Discharge (m ³/s),Temperature (° C),Salinity (PSS),Comments

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2025-09-15 15:39:12,Pass,Pass,Fail,Fail

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(° C),(deg),(),(m/s),(m ²),(m ³/s),(%)
000,15:39:35,36.579,127.674,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,0,0,0,0
001,15:40:01,36.57861N,127.67359E,1,NaN,0.37,NaN,NaN,NaN,0.6,0.222,80,13,0,0,NaN,-0.102,0,0,0,14.372,14.367,NaN,Good,22.582,1.676,1.00,0,0.37,0.00004,0.014
