Desktop_Software_Build_Version,1.7
Site_Name,,NBCW
Site_Number,,3
Local_Start_Time,,2025-11-25 14:13:02
Local_End_Time,,2025-11-25 14:47:15
Local_Time_UTC_Offset_Hours,Hours,0.0000
Operator,,
Handheld_Serial_Number,,FT2H2408015
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2408008
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,22
Discharge_Equation,,MidSection
Rated_Discharge,m ³/s,NaN
Rated_Height,m ³/s,NaN
Minimum_Boundary_Status,,Good
Total_Width,m,21
Total_Area,m ²,6.66
Total_Discharge,m ³/s,0.29494
Mean_Depth,m,0.317
Mean_Velocity_Vx,m/s,0.044
Mean_Velocity_Vy,m/s,0
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,19.841
Mean_VxErr,m/s,0.001
Mean_VyErr,m/s,0.001
Mean_VzErr,m/s,0
Mean_Temp,° C,9.248

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,3.733
Accuracy,%,1
Depth,%,0.32
Velocity,%,0.74
Width,%,0.176
Method,%,2.645
#_Stations,%,2.292

Discharge_Uncertainty_IVE
Overall,%,6.245
Accuracy,%,1
Depth,%,2.965
Velocity,%,5.402
Width,%,0.176

Supplemental_Data,#,0
Record_Number,Date_And_Time,Gauge_Height (m),Rated_Discharge (m ³/s),Temperature (° C),Salinity (PSS),Comments

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2025-11-25 14:13:57,Pass,Pass,Pass,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(° C),(deg),(),(m/s),(m ²),(m ³/s),(%)
000,14:14:19,36.58,127.674,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,0,0,0,0
001,14:17:02,36.57895N,127.67357E,1,NaN,0.21,NaN,NaN,NaN,0.6,0.126,80,0,0,0,NaN,-48.8,0,0,0,32.378,40.071,NaN,Best,9.284,1.458,1.00,0,0.21,0.00001,0.002
002,14:20:02,36.57899N,127.67359E,2,NaN,0.32,NaN,NaN,NaN,0.6,0.192,80,0,-0.003,-0.002,NaN,-146.169,0,0,0,28.606,28.13,NaN,Best,9.322,1.866,1.00,-0.003,0.32,-0.00087,-0.297
