Desktop_Software_Build_Version,1.7
Site_Name,,
Site_Number,,NBSW1
Local_Start_Time,,2025-07-23 15:31:46
Local_End_Time,,2025-07-23 16:21:17
Local_Time_UTC_Offset_Hours,Hours,0.0000
Operator,,
Handheld_Serial_Number,,FT2H2408015
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2408008
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,21
Discharge_Equation,,MidSection
Rated_Discharge,m ³/s,NaN
Rated_Height,m ³/s,NaN
Minimum_Boundary_Status,,Fair
Total_Width,m,20
Total_Area,m ²,4.69
Total_Discharge,m ³/s,0.381
Mean_Depth,m,0.235
Mean_Velocity_Vx,m/s,0.081
Mean_Velocity_Vy,m/s,-0.01
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,24.595
Mean_VxErr,m/s,0.014
Mean_VyErr,m/s,0.004
Mean_VzErr,m/s,0
Mean_Temp,° C,24.121

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,11.131
Accuracy,%,1
Depth,%,0.452
Velocity,%,10.452
Width,%,0.184
Method,%,2.767
#_Stations,%,2.398

Discharge_Uncertainty_IVE
Overall,%,17.024
Accuracy,%,1
Depth,%,4.12
Velocity,%,16.486
Width,%,0.184

Supplemental_Data,#,0
Record_Number,Date_And_Time,Gauge_Height (m),Rated_Discharge (m ³/s),Temperature (° C),Salinity (PSS),Comments

Automated_Beam_Check,#,1
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check
01,2025-07-23 15:32:43,Pass,Pass,Pass,Pass

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(° C),(deg),(),(m/s),(m ²),(m ³/s),(%)
000,15:33:06,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,-0.006,0,0,0
001,15:34:56,36.57862N,127.67362E,1,NaN,0.14,NaN,NaN,NaN,0.6,0.084,80,12,-0.006,0,NaN,-178.392,0.004,0.001,0,12.587,12.569,NaN,Best,24.263,3.847,1.00,-0.006,0.14,-0.001,-0.208
002,15:37:33,36.57863N,127.67363E,2,NaN,0.23,NaN,NaN,NaN,0.6,0.138,80,1,0.058,-0.006,NaN,-5.62,0.001,0.001,0,26.179,23.99,NaN,Best,24.118,3.215,1.00,0.058,0.23,0.013,3.514
003,15:39:12,36.57862N,127.67362E,3,NaN,0.24,NaN,NaN,NaN,0.6,0.144,80,0,0.067,0.007,NaN,6.14,0.002,0.002,0,27.625,25.191,NaN,Best,24.081,2.296,1.00,0.067,0.24,0.016,4.251
004,15:41:24,36.57863N,127.67364E,4,NaN,0.25,NaN,NaN,NaN,0.6,0.15,80,0,0.09,-0.018,NaN,-11.54,0.002,0.001,0,27.421,25.423,NaN,Best,24.062,3.052,1.00,0.09,0.25,0.023,5.926
005,15:45:39,36.57862N,127.67366E,5,NaN,0.22,NaN,NaN,NaN,0.6,0.132,80,2,0.006,0.001,NaN,11.187,0.001,0.001,0,26.977,27.437,NaN,Best,24.117,4.579,1.00,0.006,0.22,0.001,0.348
006,15:50:08,36.57862N,127.67360E,6,NaN,0.28,NaN,NaN,NaN,0.6,0.168,80,0,0.136,0.039,NaN,15.92,0.002,0.002,0,25.91,23.68,NaN,Best,24.118,2.575,1.00,0.136,0.28,0.038,10.036
007,15:52:07,36.57861N,127.67362E,7,NaN,0.29,NaN,NaN,NaN,0.6,0.174,80,0,0.163,-0.012,NaN,-4.33,0.003,0.002,0,27.728,25.594,NaN,Best,24.126,2.58,1.00,0.163,0.29,0.047,12.41
008,15:54:56,36.57859N,127.67365E,8,NaN,0.37,NaN,NaN,NaN,0.6,0.222,80,0,0.159,-0.014,NaN,-4.92,0.005,0.004,0,29.259,27.114,NaN,Best,24.118,2.954,1.00,0.159,0.37,0.059,15.487
009,15:56:56,36.57859N,127.67363E,9,NaN,0.36,NaN,NaN,NaN,0.6,0.216,80,0,0.173,-0.025,NaN,-8.13,0.004,0.003,0,29.932,27.739,NaN,Best,24.118,2.589,1.00,0.173,0.36,0.062,16.407
010,15:59:08,36.57860N,127.67369E,10,NaN,0.29,NaN,NaN,NaN,0.6,0.174,80,1,0.208,0.012,NaN,3.38,0.003,0.002,0,29.378,27.113,NaN,Best,24.136,3.113,1.00,0.208,0.29,0.06,15.839
011,16:01:10,36.57858N,127.67366E,11,NaN,0.22,NaN,NaN,NaN,0.6,0.132,80,3,0.041,-0.004,NaN,-5.784,0.006,0.001,0,34.744,32.065,NaN,Fair,24.183,2.674,1.00,0.041,0.22,0.009,2.378
012,16:03:13,36.57856N,127.67368E,12,NaN,0.22,NaN,NaN,NaN,0.6,0.132,80,3,0.031,-0.001,NaN,-2.639,0.005,0.002,0,34.539,29.98,NaN,Good,24.118,2.674,1.00,0.031,0.22,0.007,1.802
013,16:06:15,36.57856N,127.67368E,13,NaN,0.2,NaN,NaN,NaN,0.6,0.12,80,6,0.02,-0.001,NaN,-2.488,0.003,0.001,0,24.78,23.144,NaN,Fair,24.118,3.215,1.00,0.02,0.2,0.004,1.025
014,16:09:09,36.57855N,127.67366E,14,NaN,0.27,NaN,NaN,NaN,0.6,0.162,80,1,0.109,-0.032,NaN,-16.451,0.001,0.001,0,28.291,26.151,NaN,Best,24.118,2.865,1.00,0.109,0.27,0.03,7.756
015,16:11:01,36.57853N,127.67368E,15,NaN,0.21,NaN,NaN,NaN,0.6,0.126,80,0,0.049,-0.021,NaN,-23.15,0.002,0.001,0,29.312,26.643,NaN,Fair,24.142,2.603,1.00,0.049,0.21,0.01,2.704
016,16:13:09,36.57852N,127.67368E,16,NaN,0.21,NaN,NaN,NaN,0.6,0.126,80,1,0.034,-0.017,NaN,-25.99,0.002,0.001,0,26.756,25.079,NaN,Good,24.118,2.723,1.00,0.034,0.21,0.007,1.881
017,16:15:01,36.57850N,127.67368E,17,NaN,0.23,NaN,NaN,NaN,0.6,0.138,80,0,0.063,-0.011,NaN,-9.908,0.002,0.001,0,24.698,21.923,NaN,Best,23.934,2.937,1.00,0.063,0.23,0.014,3.788
018,16:16:56,36.57849N,127.67368E,18,NaN,0.28,NaN,NaN,NaN,0.6,0.168,80,0,0.09,-0.023,NaN,-14.307,0.001,0.001,0,19.982,17.889,NaN,Best,23.757,3.025,1.00,0.09,0.28,0.025,6.59
019,16:18:54,36.57849N,127.67368E,19,NaN,0.18,NaN,NaN,NaN,0.6,0.108,80,0,-0.252,-0.085,NaN,-161.451,0.22,0.051,0,0.001,-0.215,NaN,Best,24.564,2.982,1.00,-0.252,0.18,-0.045,-11.932
020,16:20:32,36.578,127.674,20,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Undefined,NaN,NaN,1.00,-0.252,0,0,0
